symbol,settle_date,contract_num,open,high,low,close,adj_close,volume,open_interest
CLF20,20160225,46,0.0,46.73,46.73,46.73,46.73,0,0
CLF21,20160225,58,0.0,47.78,47.78,47.78,47.78,0,0
CLF17,20160226,10,40.22,41.41,39.81,39.86,39.86,1879,32366
CLF18,20160226,22,0.0,42.83,42.83,42.83,42.83,161,6626
CLF19,20160226,34,0.0,44.6,44.6,44.6,44.6,46,216
CLF20,20160226,46,0.0,45.88,45.88,45.88,45.88,0,0
CLF21,20160226,58,0.0,46.88,46.88,46.88,46.88,0,0
CLF17,20160229,10,40.03,40.97,40.03,40.93,40.93,4221,33154
CLF18,20160229,22,0.0,43.95,43.95,43.95,43.95,242,6787
CLF19,20160229,34,0.0,45.68,45.68,45.68,45.68,0,216
CLF20,20160229,46,0.0,46.96,46.96,46.96,46.96,0,0
CLF21,20160229,58,0.0,47.94,47.94,47.94,47.94,0,0
CLF17,20160301,10,40.82,41.43,40.6,41.02,41.02,2446,32322
CLF18,20160301,22,0.0,44.1,44.1,44.1,44.1,76,6858
CLF19,20160301,34,0.0,45.86,45.86,45.86,45.86,0,216
CLF20,20160301,46,0.0,47.17,47.17,47.17,47.17,0,0
CLF21,20160301,58,0.0,48.17,48.17,48.17,48.17,0,0
CLF17,20160302,10,40.82,41.34,40.54,40.96,40.96,2636,31962
CLF18,20160302,22,0.0,43.96,43.96,43.96,43.96,451,7161
CLF19,20160302,34,0.0,45.71,45.71,45.71,45.71,0,216
CLF20,20160302,46,0.0,46.96,46.96,46.96,46.96,0,0
CLF21,20160302,58,0.0,47.95,47.95,47.95,47.95,0,0
CLF17,20160303,10,40.74,41.15,40.71,41.09,41.09,2713,32855
CLF18,20160303,22,0.0,43.99,43.99,43.99,43.99,102,7237
CLF19,20160303,34,0.0,45.64,45.64,45.64,45.64,0,216
CLF20,20160303,46,0.0,46.79,46.79,46.79,46.79,0,0
CLF21,20160303,58,0.0,47.72,47.72,47.72,47.72,0,0
CLF17,20160304,10,41.1,42.81,41.1,42.62,42.62,3957,33362
CLF18,20160304,22,0.0,45.22,45.22,45.22,45.22,15,7249
CLF19,20160304,34,0.0,46.58,46.58,46.58,46.58,0,216
CLF20,20160304,46,0.0,47.57,47.57,47.57,47.57,0,0
CLF21,20160304,58,0.0,48.39,48.39,48.39,48.39,0,0
CLF17,20160307,10,43.2,44.45,42.92,44.4,44.4,5333,33053
CLF18,20160307,22,46.24,46.85,46.24,46.85,46.85,61,7308
CLF19,20160307,34,0.0,48.05,48.05,48.05,48.05,0,216
CLF20,20160307,46,0.0,48.92,48.92,48.92,48.92,0,0
CLF21,20160307,58,0.0,49.63,49.63,49.63,49.63,0,0
CLF17,20160308,10,44.1,44.63,42.6,42.95,42.95,5148,33079
CLF18,20160308,22,0.0,45.67,45.67,45.67,45.67,312,7372
CLF19,20160308,34,0.0,47.06,47.06,47.06,47.06,0,216
CLF20,20160308,46,0.0,48.05,48.05,48.05,48.05,0,0
CLF21,20160308,58,0.0,48.79,48.79,48.79,48.79,0,0
CLF17,20160309,10,42.66,44.34,42.66,44.16,44.16,3338,32861
CLF18,20160309,22,0.0,46.74,46.74,46.74,46.74,401,7358
CLF19,20160309,34,0.0,48.02,48.02,48.02,48.02,25,216
CLF20,20160309,46,0.0,48.97,48.97,48.97,48.97,0,0
CLF21,20160309,58,0.0,49.71,49.71,49.71,49.71,0,0
CLF17,20160310,10,43.87,44.1,43.15,43.43,43.43,3679,32486
CLF18,20160310,22,0.0,46.16,46.16,46.16,46.16,369,7455
CLF19,20160310,34,0.0,47.62,47.62,47.62,47.62,5,221
CLF20,20160310,46,0.0,48.66,48.66,48.66,48.66,0,0
CLF21,20160310,58,0.0,49.43,49.43,49.43,49.43,0,0
CLF17,20160311,10,44.05,44.13,43.42,43.99,43.99,3122,32388
CLF18,20160311,22,0.0,46.57,46.57,46.57,46.57,16,7456
CLF19,20160311,34,0.0,47.99,47.99,47.99,47.99,0,221
CLF20,20160311,46,0.0,48.98,48.98,48.98,48.98,0,0
CLF21,20160311,58,0.0,49.75,49.75,49.75,49.75,0,0
CLF17,20160314,10,42.94,43.04,42.63,42.8,42.8,3092,32685
CLF18,20160314,22,0.0,45.48,45.48,45.48,45.48,247,7657
CLF19,20160314,34,0.0,47.02,47.02,47.02,47.02,0,221
CLF20,20160314,46,0.0,48.1,48.1,48.1,48.1,0,0
CLF21,20160314,58,0.0,48.94,48.94,48.94,48.94,0,0
CLF17,20160315,10,42.45,42.45,41.78,42.16,42.16,1903,32573
CLF18,20160315,22,0.0,44.99,44.99,44.99,44.99,38,7669
CLF19,20160315,34,0.0,46.72,46.72,46.72,46.72,0,221
CLF20,20160315,46,0.0,47.9,47.9,47.9,47.9,0,0
CLF21,20160315,58,0.0,48.79,48.79,48.79,48.79,0,0
CLF17,20160316,10,42.68,43.59,42.41,43.59,43.59,2917,32045
CLF18,20160316,22,0.0,46.07,46.07,46.07,46.07,0,7669
CLF19,20160316,34,0.0,47.51,47.51,47.51,47.51,0,221
CLF20,20160316,46,0.0,48.55,48.55,48.55,48.55,0,0
CLF21,20160316,58,0.0,49.38,49.38,49.38,49.38,0,0
CLF17,20160317,10,43.77,44.7,43.66,44.64,44.64,4607,31488
CLF18,20160317,22,0.0,46.65,46.65,46.65,46.65,200,7869
CLF19,20160317,34,0.0,47.82,47.82,47.82,47.82,0,221
CLF20,20160317,46,0.0,48.72,48.72,48.72,48.72,0,0
CLF21,20160317,58,0.0,49.43,49.43,49.43,49.43,0,0
CLF17,20160318,10,44.51,45.06,44.21,44.36,44.36,6989,30288
CLF18,20160318,22,46.6,46.68,46.6,46.68,46.68,188,8020
CLF19,20160318,34,0.0,48.01,48.01,48.01,48.01,0,221
CLF20,20160318,46,0.0,48.98,48.98,48.98,48.98,0,0
CLF21,20160318,58,0.0,49.71,49.71,49.71,49.71,0,0
CLF17,20160321,10,44.13,44.7,43.86,44.7,44.7,11047,28800
CLF18,20160321,22,46.57,46.9,46.57,46.9,46.9,433,8165
CLF19,20160321,34,0.0,48.2,48.2,48.2,48.2,0,221
CLF20,20160321,46,0.0,49.18,49.18,49.18,49.18,0,0
CLF21,20160321,58,0.0,49.96,49.96,49.96,49.96,0,0
CLF17,20160322,9,44.7,45.11,44.23,45.06,45.06,3773,29219
CLF18,20160322,21,46.81,47.17,46.79,47.17,47.17,123,8174
CLF19,20160322,33,0.0,48.4,48.4,48.4,48.4,0,221
CLF20,20160322,45,0.0,49.36,49.36,49.36,49.36,0,0
CLF21,20160322,57,0.0,50.14,50.14,50.14,50.14,0,0
CLF17,20160323,9,44.68,44.78,43.85,43.85,43.85,3045,29403
CLF18,20160323,21,0.0,46.26,46.26,46.26,46.26,438,8416
CLF19,20160323,33,0.0,47.74,47.74,47.74,47.74,0,221
CLF20,20160323,45,0.0,48.85,48.85,48.85,48.85,0,0
CLF21,20160323,57,0.0,49.73,49.73,49.73,49.73,0,0
CLF17,20160324,9,43.63,43.7,42.88,43.64,43.64,3393,29653
CLF18,20160324,21,0.0,46.03,46.03,46.03,46.03,149,8436
CLF19,20160324,33,0.0,47.47,47.47,47.47,47.47,0,221
CLF20,20160324,45,0.0,48.58,48.58,48.58,48.58,0,0
CLF21,20160324,57,0.0,49.4,49.4,49.4,49.4,0,0
CLF17,20160328,9,43.65,44.0,43.05,43.42,43.42,2865,29520
CLF18,20160328,21,0.0,45.71,45.71,45.71,45.71,94,8449
CLF19,20160328,33,0.0,47.22,47.22,47.22,47.22,0,221
CLF20,20160328,45,0.0,48.4,48.4,48.4,48.4,0,0
CLF21,20160328,57,0.0,49.31,49.31,49.31,49.31,0,0
CLF17,20160329,9,43.1,43.1,42.36,42.72,42.72,1525,29416
CLF18,20160329,21,0.0,45.3,45.3,45.3,45.3,1,8449
CLF19,20160329,33,0.0,47.03,47.03,47.03,47.03,0,221
CLF20,20160329,45,0.0,48.36,48.36,48.36,48.36,0,0
CLF21,20160329,57,0.0,49.39,49.39,49.39,49.39,0,0
CLF17,20160330,9,43.25,44.13,42.97,43.18,43.18,2353,29476
CLF18,20160330,21,45.75,45.82,45.75,45.82,45.82,100,8396
CLF19,20160330,33,0.0,47.61,47.61,47.61,47.61,0,221
CLF20,20160330,45,0.0,49.03,49.03,49.03,49.03,0,0
CLF21,20160330,57,0.0,50.09,50.09,50.09,50.09,0,0
CLF17,20160331,9,42.87,43.8,42.76,43.3,43.3,2002,29625
CLF18,20160331,21,0.0,45.98,45.98,45.98,45.98,76,8382
CLF19,20160331,33,0.0,47.85,47.85,47.85,47.85,0,221
CLF20,20160331,45,0.0,49.34,49.34,49.34,49.34,0,0
CLF21,20160331,57,0.0,50.46,50.46,50.46,50.46,0,0
CLF17,20160401,9,43.28,43.3,41.61,41.74,41.74,3014,29777
CLF18,20160401,21,0.0,44.46,44.46,44.46,44.46,163,8473
CLF19,20160401,33,0.0,46.48,46.48,46.48,46.48,150,271
CLF20,20160401,45,0.0,48.09,48.09,48.09,48.09,0,0
CLF21,20160401,57,0.0,49.33,49.33,49.33,49.33,0,0
CLF17,20160404,9,41.37,41.51,40.54,40.55,40.55,4405,30184
CLF18,20160404,21,0.0,43.36,43.36,43.36,43.36,46,8458
CLF19,20160404,33,0.0,45.47,45.47,45.47,45.47,120,291
CLF20,20160404,45,0.0,47.13,47.13,47.13,47.13,0,0
CLF21,20160404,57,0.0,48.41,48.41,48.41,48.41,0,0
CLF17,20160405,9,40.2,40.86,40.13,40.34,40.34,2949,30515
CLF18,20160405,21,0.0,42.97,42.97,42.97,42.97,230,8486
CLF19,20160405,33,0.0,45.0,45.0,45.0,45.0,0,291
CLF20,20160405,45,0.0,46.71,46.71,46.71,46.71,0,0
CLF21,20160405,57,0.0,48.01,48.01,48.01,48.01,0,0
CLF17,20160406,9,40.88,42.06,40.85,42.03,42.03,2074,30223
CLF18,20160406,21,0.0,44.39,44.39,44.39,44.39,37,8474
CLF19,20160406,33,0.0,46.24,46.24,46.24,46.24,0,291
CLF20,20160406,45,0.0,47.84,47.84,47.84,47.84,0,0
CLF21,20160406,57,0.0,49.1,49.1,49.1,49.1,0,0
